City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Biak,ID,-0.9131,122.8766,76.39,86,91,5.3,overcast clouds
292,Gamba,GA,-2.65,10.0,77.54,89,57,6.04,broken clouds
293,Asosa,ET,10.0667,34.5333,67.1,71,23,2.04,few clouds
294,Luganville,VU,-15.5333,167.1667,74.07,77,99,5.06,overcast clouds
295,Samarai,PG,-10.6167,150.6667,77.92,75,98,13.42,overcast clouds
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,81.1,67,1,9.19,clear sky
297,Yarada,IN,17.65,83.2667,82.72,78,75,3.42,broken clouds
298,Magadan,RU,59.5667,150.8,35.87,98,100,3.71,light rain
299,Puerto Madryn,AR,-42.7692,-65.0385,49.59,37,0,26.82,clear sky
300,Lotofaga,WS,-13.9764,-171.8578,74.98,72,78,14.61,broken clouds
301,Goya,AR,-29.14,-59.2626,70.25,27,0,11.23,clear sky
302,Misratah,LY,32.3754,15.0925,72.43,76,34,15.01,scattered clouds
303,La Sarre,CA,48.8002,-79.1996,58.91,30,0,2.91,clear sky
304,Baruun-Urt,MN,46.6806,113.2792,49.62,74,90,8.79,overcast clouds
305,Salalah,OM,17.0151,54.0924,84.29,89,75,8.05,broken clouds
306,Sarkikaraagac,TR,38.0794,31.3664,57.33,64,33,4.5,scattered clouds
307,Buchanan,LR,5.8808,-10.0467,84.16,83,98,6.53,light rain
308,Dunedin,NZ,-45.8742,170.5036,49.8,96,100,11.54,moderate rain
309,Chara,RU,56.9064,118.2631,45.63,74,47,3.42,scattered clouds
310,Rio Grande,BR,-32.035,-52.0986,66.31,58,41,18.79,scattered clouds
311,Kavieng,PG,-2.5744,150.7967,81.97,80,92,12.64,light rain
312,Trairi,BR,-3.2778,-39.2689,85.46,63,73,10.76,broken clouds
313,Teya,RU,60.3778,92.6267,35.19,97,100,7.05,light rain
314,Grand-Santi,GF,4.25,-54.3833,80.98,90,93,1.99,overcast clouds
315,Yar-Sale,RU,66.8333,70.8333,48.88,94,100,11.16,light rain
316,Oconomowoc,US,43.1117,-88.4993,61.84,40,1,1.99,clear sky
317,Banda Aceh,ID,5.5577,95.3222,80.38,79,100,8.41,light rain
318,Birao,CF,10.2849,22.7882,95.9,21,51,8.55,broken clouds
319,Neuquen,AR,-38.9516,-68.0591,51.69,58,40,6.91,scattered clouds
320,Dordrecht,NL,51.81,4.6736,66.38,68,27,5.01,scattered clouds
321,Uptar,RU,59.75,150.9167,31.82,99,100,2.51,overcast clouds
322,Crisan,RO,44.9667,29.4667,66.79,67,42,6.44,scattered clouds
323,Grindavik,IS,63.8424,-22.4338,48.67,81,90,33.64,moderate rain
324,Seoul,KR,37.5683,126.9778,54.36,100,0,2.64,clear sky
325,Grand Gaube,MU,-20.0064,57.6608,74.37,89,11,1.99,light rain
326,La Ronge,CA,55.1001,-105.2842,44.82,80,100,16.4,overcast clouds
327,Lagoa Formosa,BR,-18.7786,-46.4075,86.02,32,95,8.1,overcast clouds
328,Paka,MY,4.6374,103.4368,79.12,88,95,6.33,overcast clouds
329,Washim,IN,20.1,77.15,82.49,59,48,16.6,moderate rain
330,Loubomo,CG,-4.1997,12.6739,78.73,73,20,2.66,few clouds
331,Tura,IN,25.5198,90.2201,78.24,71,40,3.24,scattered clouds
332,Kutulik,RU,53.3508,102.7839,36.27,93,74,5.32,broken clouds
333,Daru,PG,-9.0763,143.2092,76.32,75,97,11.45,overcast clouds
334,Torbay,CA,47.6666,-52.7314,57.88,50,54,7.45,broken clouds
335,Paranapanema,BR,-23.3886,-48.7228,86.05,32,51,17.02,moderate rain
336,North Bend,US,43.4065,-124.2243,66.92,68,1,13.8,clear sky
337,Lanxi,CN,29.2195,119.477,67.93,85,100,0.67,overcast clouds
338,Faya,SA,18.3851,42.4509,70.32,38,94,4.61,overcast clouds
339,Kahului,US,20.8947,-156.47,79.84,70,20,4.61,few clouds
340,Riyadh,SA,24.6877,46.7219,102.25,12,0,6.91,clear sky
341,Tessalit,ML,20.1986,1.0114,105.17,4,65,12.82,broken clouds
342,Northam,GB,51.0333,-4.2167,67.48,83,82,7.67,broken clouds
343,Doha,QA,25.2867,51.5333,94.98,29,0,3.44,clear sky
